Relation,AUROC,AUPRC,AP@50
C0035258,0.5031207704611805,0.5254569425632304,0.5055369565490656
C0019360,0.4592391304347826,0.48949383564629156,0.38076092459475797
C0013473,0.5243124965523038,0.5478625223252384,0.5121688510520384
C0020461,0.4988921513425816,0.5191643515205839,0.47462403449919804
C0162429,0.4788148835712187,0.4955887606992839,0.3122841773942966
C0032617,0.48840792821984874,0.5121230011609402,0.31204032935141013
C0042769,0.4918267204874263,0.5089505065209242,0.4207363198201675
C0020557,0.46216305062458907,0.48508534141023313,0.24670224940908053
C0836924,0.4739059657186633,0.49649246090164345,0.37523991573166393
C0042963,0.49809854085008065,0.5286438127465936,0.4890305713196242
C0015672,0.5065843442399561,0.5328220772093586,0.48441871291730665
C0011880,0.475094094327055,0.5118664035542702,0.3454061892649586
C0020651,0.5157452898855015,0.5571699085082501,0.601666383116801
C0032227,0.5132239767515143,0.5487298349914982,0.6162270057053424
C0015468,0.5618534776781774,0.590232203677737,0.5532989212191249
C0020255,0.5109842083794651,0.5247572999988558,0.38732340215671157
C0031256,0.5285544520315992,0.5587779295189055,0.4820312835238451
C0011630,0.4531462200090539,0.5041420889320822,0.2587583270161232
C0032285,0.48933548181384523,0.50427736358751,0.41127745137727856
C0014130,0.5268525529814337,0.583825561770302,0.6296949350442517
C0018188,0.5161270110901484,0.54578828693147,0.4856646438509562
C0025222,0.47836657169990504,0.5182000199700324,0.4474848366091468
C0042487,0.5043214329918634,0.52952477778067,0.42902952056994353
C0085615,0.5129619326121836,0.5577415113123292,0.5292841259129802
C0004153,0.5170777236745943,0.5429834043524455,0.3776059020461166
C0011168,0.5255546256593718,0.558248933099131,0.5939666937276697
C0042510,0.5202770962620868,0.5454552236529135,0.46854939104998267
C0026858,0.5033676682034085,0.5265599435803332,0.400416092021717
C0043096,0.5003893060778482,0.524120561400702,0.3366444884896942
C0035078,0.48994708994708996,0.5022387158776922,0.3479137372845379
C0428977,0.4783430710088232,0.4986843974539896,0.40519923079157844
C0013221,0.5159163714103042,0.548237209159292,0.5265143562956439
C0036974,0.49444423109773944,0.5280196167577126,0.49493680306093607
C0079035,0.5748973709494278,0.6051130304380875,0.5369607689516254
C0232492,0.5031291636902857,0.5303279238677856,0.4456935972979187
C0013404,0.49260177536154937,0.502808835609038,0.3337844698873157
C0018926,0.4868079584775087,0.5127357317895294,0.45078662945175596
C0010054,0.47952660757961996,0.4976206975891382,0.28914272733601654
C0020541,0.4932098765432099,0.49449343853295424,0.20378678480936152
C0034063,0.489071580963216,0.5053774632272459,0.43539649117027146
C0020295,0.503657787088375,0.5258710541283774,0.35889168206486105
C0017658,0.5165200163160655,0.5477129604192706,0.4299895778991034
C0008031,0.5142920384826738,0.5470990086907228,0.5877874851634597
C0235946,0.508928415118783,0.5555203828974338,0.5881610932674259
C0020458,0.4944085707199546,0.5185923447491259,0.3381985120404072
C0344232,0.5202034609718948,0.5506463462853817,0.5516415236780123
C0020565,0.4776043260891746,0.4777025849193095,0.18388874952406215
C0015230,0.4915683621712996,0.5022303679695976,0.30201372435161367
C0235527,0.45688139201258726,0.47562981816588357,0.2137228664900414
C0002170,0.4822738146043441,0.4981821036317157,0.2946942184382674
C0020649,0.4936133751034769,0.505925840571337,0.20080907798060385
C0037928,0.48414683612763654,0.5141474487509505,0.3365363326779154
C0006826,0.4886147408669932,0.5072920033613697,0.3346623018829269
C0242429,0.47918513315809974,0.49460762077160264,0.2733538574060713
C0341047,0.49468750000000006,0.5494626887179672,0.3296856618911585
C0021400,0.5063314967860423,0.5404970463211081,0.5021030716148829
C0016204,0.5331590845321905,0.5612037102620391,0.5510773512949664
C0018681,0.5001762070309026,0.5312687814584545,0.48215823528694896
C0442874,0.4810868038311789,0.49904127647033725,0.29383653793053727
C0013604,0.4881943928671215,0.5032887569266856,0.34663713365314536
C0034186,0.5495070089598487,0.5797586811159655,0.5442667620011019
C0005424,0.4759402394193609,0.5386678476767793,0.5029435667432725
C0149512,0.5766602163286765,0.5926367046029242,0.4493969388350944
C0017168,0.5170254571717783,0.5469068565141203,0.5456797668954045
C0152027,0.5085313168910575,0.535513262061452,0.4246556281640913
C0005779,0.5100069630019948,0.5030931654833615,0.18138131238610775
C0022104,0.49187274119176055,0.5305985300124956,0.5597523646310573
C0015967,0.5108892374453962,0.5483476233038489,0.6470603971169764
C0029927,0.49784205693296607,0.516943831516185,0.38112338738018836
C0043094,0.5150422525984801,0.5434603275216047,0.4736112887941053
