Relation,AUROC,AUPRC,AP@50
C0035258,0.9357291864744243,0.9140564312229821,0.9231834165631619
C0019360,0.9316009348416825,0.9113434707056428,0.9705607971421415
C0013473,0.9401821434294134,0.9216989344457942,0.9127609461959829
C0020461,0.9126418191139478,0.8801399969028856,0.8830989861238037
C0162429,0.9286025739153868,0.8941032631357517,0.7880681254854716
C0032617,0.9342602294640263,0.9118020996768106,0.9222730360905538
C0042769,0.9253398145440396,0.9039650597164899,1.0
C0020557,0.9568902038132807,0.9525948437881893,1.0
C0836924,0.9225886957770756,0.8966440856445235,0.9231201886132843
C0042963,0.8805202309418834,0.8294116532564566,0.6159204977648575
C0015672,0.8917717105634276,0.8457377708491888,0.7684711838980856
C0011880,0.9267147637811073,0.8856014142445511,0.8063965172112989
C0020651,0.9190287226001512,0.8897826748167063,0.8798312437549152
C0032227,0.908805013830048,0.8717159358030477,0.8043781331778986
C0015468,0.9602917927276521,0.9448922950803491,0.9536185683360862
C0020255,0.9462006876056174,0.937203119542931,0.9663350567884812
C0031256,0.9172582800214273,0.8836170253647302,0.8320176281148918
C0011630,0.9270031688546854,0.9042309732427998,0.9056211842576447
C0032285,0.8956071537899977,0.8576742250625642,0.8875653371418788
C0014130,0.9563016994316058,0.9509592468881978,1.0
C0018188,0.936174212098217,0.9065205318596588,0.85217393591809
C0025222,0.8947651398933449,0.860326826227156,0.8566881210801758
C0042487,0.8990883231546517,0.8543906262115152,0.7409971554532929
C0085615,0.9285039594223902,0.8933753078908715,0.8488086111492463
C0004153,0.936056494289815,0.9172377206550683,0.9219947860031781
C0011168,0.9187609050181073,0.8928323001166956,0.9067828091888704
C0042510,0.9207959477487687,0.9011372189350608,0.9755867540121388
C0026858,0.9322233592026689,0.904032754167804,0.9536185683360862
C0043096,0.8954975881150194,0.8570289536378137,0.7672540258880075
C0035078,0.8921845693009715,0.8450600093576444,0.856489929830565
C0428977,0.9047397923758235,0.8666853280477385,0.8321889179351118
C0013221,0.896870754302307,0.8589522102839605,0.7966575817122764
C0036974,0.906016068096737,0.8628073394267365,0.7546938021133722
