Relation,AUROC,AUPRC,AP@50
C0035258,0.9517902484312255,0.9269670621407393,0.8933577084569562
C0019360,0.9570220197306237,0.9461436046580323,1.0
C0013473,0.9576110683523822,0.9507096030910457,0.98
C0020461,0.935647786003192,0.9099918773350826,0.8698173991224223
C0162429,0.9504061860801967,0.9373762106001688,0.9609706863762847
C0032617,0.9507171851473554,0.9362999240178962,0.9376865900761985
C0042769,0.951402432986937,0.9306592240636488,0.8966046580396949
C0020557,0.9671400394477319,0.9611731674968553,1.0
C0836924,0.949782948705672,0.9378521949887517,0.9685593140127385
C0042963,0.9263357503493772,0.8949710141737345,0.8337814463307687
C0015672,0.9330115355155641,0.9132132031922854,0.9457739553925273
C0011880,0.9489763981734867,0.9322203886745084,0.976550749366378
C0020651,0.9463813303099018,0.9297520028945568,0.9774704110999933
C0032227,0.9347228738489548,0.9180318107207897,1.0
C0015468,0.9694644849087947,0.9621858092525035,1.0
C0020255,0.95827748965678,0.9400685504520386,0.8856024716356414
C0031256,0.9428479948771312,0.9310778583720831,1.0
C0011630,0.9551833408782254,0.948606680678543,0.9247024254380689
C0032285,0.943361612426023,0.927348566017101,1.0
C0014130,0.9684843140449922,0.9628653312421173,1.0
C0018188,0.9530287313510766,0.9327141519016494,0.8981807187543253
C0025222,0.925540214770984,0.9011418412378656,0.9198361095946759
C0042487,0.9374571397031028,0.9133657897151574,0.8864922200175009
C0085615,0.9523025464520469,0.9301958736243746,0.838969246637953
C0004153,0.9523285403587247,0.9276964175444272,0.8860020125593951
C0011168,0.9519621426546598,0.9391242565911916,1.0
C0042510,0.930243691237605,0.9041485784000887,0.9077988123678888
C0026858,0.9514039041823668,0.9369206742192506,1.0
C0043096,0.9287882851867408,0.9099747919620993,1.0
C0035078,0.9326410234875844,0.9081563367630198,0.9101216488788377
C0428977,0.9378177445850056,0.9151033081678297,0.949407032884889
C0013221,0.9342124980020245,0.9114666241970307,0.9755867540121388
C0036974,0.9433379107236735,0.9267887415395164,0.9231834165631619
C0079035,0.9131801904096428,0.8730618438566224,0.7815631773759794
C0232492,0.9381402822387458,0.9141456986116899,0.8988003139952405
C0013404,0.9303785857041393,0.90504978563914,0.9466294490602823
C0018926,0.9420220588235294,0.9126206256543467,0.8578305261960166
C0010054,0.9465996556766372,0.9320505014898477,0.9795999999999999
C0020541,0.9358641975308643,0.9077625813209506,0.8810685546648824
C0034063,0.9351745227704819,0.9073341679979039,0.8272264893648991
C0020295,0.9448258999081423,0.9386714461915799,1.0
C0017658,0.9561797098071207,0.9550416910961776,1.0
C0008031,0.9389709496913364,0.9176340574797031,0.9074757314107681
C0235946,0.9405253759563034,0.9203684814218824,0.9550471397646575
C0020458,0.9349882856788548,0.9130391301800976,0.9440837473273193
C0344232,0.9430987148282166,0.9199775261199211,0.9182869584579016
C0020565,0.9629629629629629,0.9444197027557579,0.925157622081013
C0015230,0.9247029926499155,0.8930925196306424,0.9179865874318568
C0235527,0.9474293118607987,0.9320765731295756,0.9191898570086263
C0002170,0.9478195682936142,0.9311327014995824,1.0
C0020649,0.9333921718837079,0.9148331003582937,0.934733864470808
C0037928,0.9683612763656031,0.9662071305017186,1.0
C0006826,0.9489760030300571,0.9296370277059984,0.9226820123249155
C0242429,0.9472428314230419,0.924797292059071,0.9041602135952505
C0341047,0.96,0.9464046411808421,0.9077048513906116
C0021400,0.9528030303030304,0.934959848901284,0.9588069436862261
C0016204,0.9495284282216101,0.9364744837279773,1.0
C0018681,0.9241777196338462,0.8877536265024504,0.8255969541551077
C0442874,0.9383074563835992,0.9171984886569196,0.9397652724452034
C0013604,0.9315209356774784,0.9074945768215648,0.9717918577482021
C0034186,0.9556963106840356,0.9329050164408973,0.8430752570420532
C0005424,0.9609765293618625,0.9485960068475096,0.9770158656454478
C0149512,0.9661301327725642,0.9617157101323816,1.0
C0017168,0.9502736945229542,0.9309677002317145,0.9292362479715932
C0152027,0.9483538163182044,0.9237963027446952,0.8930509500218932
C0005779,0.9508755504535361,0.9320523144873029,0.920015893233411
C0022104,0.9576901849774788,0.9418443918630267,0.911508092879036
C0015967,0.9261440715646634,0.8978005570634973,0.9262864449191527
C0029927,0.9724058769513315,0.9630383423496298,0.9795999999999999
C0043094,0.9467867690409643,0.9326353676985502,1.0
C0001418,0.9438842260287684,0.9223468672292185,0.8678897584209117
C0038663,0.947611527604239,0.9327110394367373,0.9549100493552608
C0022408,0.9478110211700945,0.9322442722842054,0.925629442283144
C0152029,0.9617737167428111,0.954598715574211,0.976550749366378
C0004238,0.9407715530097669,0.9177974966531012,0.9462860464309343
C0020542,0.9485747733016204,0.9330852308234372,0.9507943005435022
C0013456,0.9558528339322033,0.9475761722158227,0.9755867540121388
C0162298,0.9463043047014482,0.9342985567545179,0.9750867540121387
C0001948,0.9560150056453277,0.9485301791680844,0.9692489691851524
C0497156,0.9445650826643276,0.9246470605325702,1.0
C0033860,0.961186877500067,0.957864951752089,1.0
C0020505,0.9520325063273704,0.929341004800849,0.8693146630284632
C0023798,0.9460588971378662,0.9270468166251018,0.9443730360905538
C0085631,0.9281367784169806,0.9049469039677143,0.976550749366378
C0085602,0.953505311249419,0.9282590479222621,0.8335053968197162
C0009938,0.9412290039074807,0.9240871910793406,0.9787751700680271
C0007859,0.9482050467024866,0.9243188802239195,0.8671142818649473
C0917801,0.9360396309213351,0.9140318103124929,0.911194020566017
C0220981,0.9252032901640977,0.902801682821026,0.8692885659770272
C0243026,0.9397944098212999,0.9187988661049853,0.9443730360905538
C0018800,0.9418930262341532,0.9210948761555428,0.9705607971421415
C0020258,0.9315828402366864,0.8842616473458828,0.7808937968978599
C0030196,0.9323834687753098,0.9043828307007807,0.8445364515318485
C0152128,0.9422599808085654,0.9297648931479139,1.0
C0027497,0.9274928565923988,0.9053777000744282,0.9760745588901876
C0020676,0.9576888841190878,0.9416135591825175,0.9774704110999933
C0003850,0.9450384424816684,0.9178932704058875,0.8463088771567656
C0038999,0.9479600639649876,0.9341422840389928,0.9692489691851524
C0011124,0.9427273199741625,0.9154670757546524,0.8735640134866159
C0037011,0.9383223836117457,0.9139398374469784,0.9022648624185642
C0004604,0.9439143374112455,0.9252184488443181,0.9186377616322002
C0014175,0.9697542533081286,0.9710181160870818,0.9571155575273589
C0020443,0.9363373054945765,0.9167025930780831,0.9316825599000776
C0031039,0.9488690905505887,0.929431477853545,0.8690317864668233
C0018621,0.9558071585098612,0.923303918171576,0.8636792295518732
C0085593,0.9418039008264464,0.922766972674617,0.9536185683360862
C0241353,0.978587962962963,0.9774680005911224,0.9770158656454478
C0014868,0.9479327540386395,0.9313635939197533,0.9532483196927656
C0039239,0.9464547597376834,0.9262776236780713,0.920015893233411
C0030312,0.9316914743800833,0.9048670694051612,0.9310995502606043
C0575081,0.9369245700808689,0.9160665433971397,0.939015893233411
C0476427,0.9828469592336824,0.9832307334944264,1.0
C0740394,0.9422899353647276,0.9349921035567066,1.0
C0020625,0.9372437664055716,0.9208292878214811,0.9211834165631619
C0020538,0.9387101807210311,0.9173986607923036,0.9563804730979908
C0031542,0.9288939959781671,0.9014305021882523,0.8978199500509461
C0022346,0.9314109410229026,0.8994305968792015,0.8469700628726176
C0041657,0.9278859956083518,0.8981949625859568,0.9102707181504636
C0002871,0.9361048145263023,0.9097851665996795,0.8831534648247541
C0020621,0.9337267859261896,0.9115540523853015,0.946380015998588
C0039240,0.9515461762878599,0.9389395889633219,1.0
C0011991,0.9409608445516835,0.9204081352535775,0.9124990414340782
C0004093,0.9413478614234809,0.920776163758695,0.9629230673286656
C0008033,0.9293455974790444,0.9033094704224365,1.0
C0085649,0.9394790843992297,0.923487043610633,0.9760745588901876
C0003467,0.9364638169400211,0.9100380888059547,0.8051608780282913
C0917798,0.9562461526623577,0.9312587412242135,0.815401586862588
C0522055,0.9553806460895526,0.9461722946908935,1.0
C0024299,0.9549605006668718,0.9477445133395089,1.0
C1510472,0.9535908087950551,0.9370591108958405,0.9107673957564153
C0277925,0.9298231647244971,0.8985101852493309,0.8391389869636228
C0010692,0.9466319910505346,0.9308498135354247,0.9463432200537875
C0162834,0.9530949634755863,0.9343074605077085,0.9356825599000778
C0035309,0.9458797171462578,0.9076307890135106,0.8398929082842896
C0267112,0.9459271456119187,0.9233117460549299,0.9173751932222938
C0030319,0.969315976331361,0.9646572241829026,1.0
C0006325,0.9517000164252793,0.9415523054818713,0.9770158656454478
C0018099,0.9405522861023088,0.924998821310784,0.9426165789995861
C0151908,0.9450939273862399,0.9195090830663012,0.8596366605508251
C0021311,0.9442722569027888,0.9291167010967246,1.0
C0149521,0.9382683546622101,0.9069517370984173,0.8783739173518111
C0149931,0.9590713081847679,0.9471849418893674,1.0
C0438215,0.9430267915844839,0.929134064909326,1.0
C0520474,0.9369821083531511,0.9168707624764316,0.9559867540121388
C0007642,0.9485231961405214,0.9283312594611224,0.9717918577482021
C0037672,0.9596970372020495,0.9458104783694038,0.9239413727525705
C0011849,0.9424666745777461,0.9193433376017057,0.9266804620131697
C0151636,0.9353662337425979,0.91295486914531,0.939015893233411
C0013491,0.9381213935085989,0.9165598956616838,0.9599180547973373
C0040822,0.9359260812440726,0.9126038691636642,0.8616046016107256
C0231218,0.9288909739163069,0.8942599733278177,0.8583340196000622
C0242528,0.9577530446943652,0.948686376914902,1.0
C0013384,0.9327732414840401,0.8954474475460255,0.813360260742299
C0011053,0.9640164765478565,0.9549034933637502,0.9755867540121388
C0017675,0.9690581854043392,0.964641169875437,0.98
C0024141,0.9457589454811747,0.9347453440636398,1.0
C0342579,0.9403170206217297,0.9202496496751221,0.8597728197372919
C0149514,0.9620403528692463,0.955439686126212,1.0
C0034880,0.9310344827586207,0.9158956993021621,0.8684470774308969
C0018932,0.9522446830429706,0.9389151218207803,1.0
C0011615,0.9248326464392406,0.8909083670853508,0.9006743335042713
C0398353,0.9379458683879272,0.9193945794853099,0.9705607971421415
C0042109,0.9368120620687803,0.9099024032375524,0.8771509500218932
C0014553,0.9534177870214651,0.945890528354296,1.0
C0029134,0.960350189291509,0.9553991262907531,0.9795999999999999
C0034150,0.9350805918879641,0.9163438990440714,0.9518663771581868
C0031154,0.948966737110566,0.9341336506487858,0.9685593140127385
C0043352,0.9407669380065602,0.9096408255262758,0.8361472506078809
C0028259,0.955197148585431,0.9470230265261024,0.9795999999999999
C0014518,0.9355492196878751,0.913996763481658,0.9406272377428898
C0878544,0.9490241948405704,0.9358948126839198,0.9576304730979908
C0030252,0.9330386529623766,0.903518119325362,0.886578257001648
C0162316,0.9565529847365215,0.9438404070484161,0.9563804730979908
C0028084,0.9442249527410208,0.9362836268807192,1.0
C0014544,0.9313317479191439,0.893407632703957,0.7761198224019595
C0151825,0.9496754535147393,0.9360070814046552,1.0
C0558489,0.9678638941398865,0.9593780700397485,0.9795999999999999
C0032300,0.9486658961096294,0.9341375317105373,1.0
C0019209,0.943074880552686,0.9290231437683649,0.9740476177098445
C0242184,0.9430124587653367,0.9267175094952891,1.0
C0085624,0.9459417651864668,0.9266808654646551,0.9063989700807141
C1527344,0.9550252999429445,0.9445273517990818,0.9750867540121387
C0013395,0.9451737049834464,0.9215333304069346,0.8600665581431
C0750426,0.9352674340918554,0.9159299855727068,0.9588069436862261
C0003578,0.9488390421713083,0.936969541639489,0.969915635851819
C0035522,0.9474047703809184,0.931056306419515,0.9536185683360862
C0027709,0.9531064503363673,0.9371602044193664,0.9356825599000778
C0019080,0.9361395447564586,0.9089791574225488,0.9149099630920746
C0003486,0.9593573267439337,0.9427712695895365,0.920206992401431
C0019348,0.9297925205461998,0.8953857116980907,0.8440726158947242
C0027404,0.9384412066234409,0.9155718206080761,0.9774704110999933
C0085614,0.9522497704315886,0.9432307545623884,1.0
C0037199,0.94921875,0.9284552106631058,0.9034933570422201
C0029408,0.9389096763614139,0.9124749228167733,0.8632057820942434
C0023530,0.9489399385170119,0.9250632738153994,0.8249449483773773
C0018674,0.9423454986518051,0.9208424299664385,0.9413706863762847
C0007117,0.9567174722524874,0.9514346615630601,0.9779148555444378
C0015802,0.9569121671098779,0.9472403833118711,0.9638321582377566
C0020456,0.94110126672723,0.9231933431009173,0.9723800930423198
C0917799,0.9413984183559813,0.9178032920766589,0.9398019727439406
C0000737,0.9373399963917038,0.9184626378550919,0.953511710566678
C0036508,0.9554631379962193,0.9482956511666004,0.9655350567884813
C0027813,0.9595276726158284,0.9334986743841749,0.8668889293239661
C0042571,0.9503030847098253,0.932980249984673,0.9306177408283685
C0035410,0.9270206700367591,0.8996420226908174,0.8416379089158028
C0149871,0.9468181218768326,0.9306670027984152,0.9774704110999933
C0016663,0.9458167749164055,0.9217646176569068,0.910015893233411
C0231807,0.953402296465898,0.9314604099586296,0.8550969038835261
C0030794,0.9531141868512111,0.9460219171432281,1.0
C1260880,0.9599585048081188,0.950283858130176,1.0
C0013182,0.9420463054277157,0.9257265110181543,0.9108266903755535
C0003126,0.9619236506089266,0.9477473720788979,0.9499237991171252
C0024103,0.9650804017837034,0.9556315222209502,0.9717918577482021
C0027947,0.9308903609041089,0.897634152128982,0.8068607220392007
C0015695,0.9438057994918486,0.9242114838114482,0.9447357587714024
C0262365,0.9656635802469136,0.9656550296254343,0.9755867540121388
C0029443,0.9437969878516586,0.9191518045996975,0.8412657970164625
C0020437,0.9519049245270133,0.9473244137188587,1.0
C0017086,0.9585450908304498,0.9526918636576912,1.0
C0008301,0.9643289426842293,0.9598569493767758,1.0
C0456909,0.9286550788954635,0.9062204950829079,0.9358913956651038
C0036572,0.9259636712107444,0.9022554537238582,0.8905630329980698
C0221150,0.9526555555555556,0.9298647708541554,0.8818266903755536
C0005687,0.9311294765840221,0.9039549152431897,0.812736391688037
C0017181,0.941886625485341,0.9207441394525602,0.9588069436862261
C0004096,0.947508294958676,0.9248679476758427,0.9116907231653839
C0026650,0.9513471631361197,0.9362752741269413,0.969915635851819
C0085605,0.9269535421858311,0.9046674572858415,0.9053842833552266
C0018965,0.9490993715229517,0.9272122715117443,0.8638256142819304
C0020550,0.9569301298075724,0.9425919917467487,0.9678450282984528
C0037315,0.9509023030900078,0.9376347882222901,1.0
C0007876,0.9045132708358055,0.8715058182085617,0.8172425824924094
C0029124,0.95515625,0.9315565147963539,0.9082484843716015
C0002962,0.9443483986132595,0.9234349771934297,0.9256030569828023
C0018989,0.9396023537435829,0.9154998074093399,0.9266825599000776
C0003862,0.9437672287779586,0.9238051275557733,0.9231574568523833
C0026821,0.958361298289887,0.9412804026648369,0.9711857971421415
C0022658,0.9403568519668248,0.9164844228285856,0.9361173593069677
C0000833,0.9496335466910751,0.9366871926522095,0.9520801067976246
C0231528,0.9353887908567449,0.9089125235354036,0.8992594738821174
C0027059,0.9416956772018311,0.9330608909225523,0.9407551071381142
C0162323,0.9450508650775971,0.9116435200733362,0.8729865796096969
C0033975,0.9459717855018271,0.9284850643948341,0.946595258312776
C0019193,0.9484654286357773,0.9345467237402616,1.0
C0037287,0.9582974391103454,0.956400759916389,1.0
C0033774,0.9332523667617865,0.8999993442537945,0.7978632538071557
C0028081,0.9431115338882282,0.9258482977882218,1.0
C0014724,0.9640641480288018,0.9581525730434965,1.0
C0013146,0.9325724780270235,0.904679188158557,0.8884299965371227
C0700200,0.9573474509608061,0.9506248891900031,1.0
C0007286,0.9550433721735714,0.9381400050781012,0.969915635851819
C0003962,0.9321183922698795,0.904856400842273,0.9074757314107681
C0034072,0.9751377675253108,0.9739150239436061,1.0
C0085610,0.9411330445564077,0.9156610199316947,0.8637842215698494
C0009917,0.9585141095055398,0.954838867069821,1.0
