Relation,AUROC,AUPRC,AP@50
C0005779,0.9679066769543454,0.9532167112131198,0.9248245267685512
C0011991,0.960110930914301,0.9440237871516955,0.9692489691851524
C0011860,0.9641593063741993,0.9423411727067467,0.8298699766842961
C0038395,0.9617171443487685,0.9492032990814907,0.9599180547973373
C1145670,0.9536046963447823,0.9356806835774603,1.0
C0012833,0.9554379656849004,0.9371259488715952,1.0
C0520474,0.9555449241973841,0.9319810402194787,0.8434808562840023
C0021400,0.9701377410468319,0.9591406896590161,0.9619706863762846
C0024902,0.978723673712339,0.973967641544224,1.0
C0043144,0.9660446062812926,0.9537977456089487,0.967104287557712
C0085682,0.9627289640275194,0.9576769242055759,0.976550749366378
C0020676,0.9718930708820485,0.9610166916606001,1.0
C0151825,0.967922335600907,0.9612801973744007,1.0
C0013604,0.9551421706802665,0.9345490326763884,1.0
C0042571,0.9697663383605212,0.9553736505647648,1.0
C0009782,0.9601207830070804,0.9481611593513737,0.9315088363678599
C0008325,0.9672305318687004,0.9550114484686545,0.9401713883592058
C0013144,0.9591017462598607,0.941733902723693,0.973507077169304
C0013362,0.9630546650529838,0.9520136715994338,1.0
C0031046,0.9692836367048226,0.9605611101572645,0.9647017234551478
C0043246,0.9731157467603847,0.9608647590208391,0.9266825599000776
C0151908,0.9603187064393285,0.9453499051003607,0.967104287557712
C0231807,0.9683131766067187,0.9537770197358365,0.9588069436862261
C0026946,0.9688186375601495,0.961368260786051,1.0
C0162297,0.961799625421813,0.9518732246717249,0.9638321582377566
C0235946,0.9556949283100786,0.9353295075798778,0.9062648624185643
C0030554,0.9557298789920341,0.9341846350976101,0.9655350567884813
C0040034,0.9487946135905411,0.923503500867251,0.884579868355208
C0032285,0.963493815355224,0.950791763178972,1.0
C0151723,0.9705413060635982,0.9669054534858533,1.0
C0036983,0.9617377046121408,0.9516497921862742,1.0
C0025286,0.9859842951059168,0.9860223561116598,1.0
C0027121,0.966406165652069,0.9485390923526801,0.9082829252922526
C0027022,0.9600591715976331,0.9484218564624729,0.9017957426494444
C0013384,0.9511122826136134,0.9293069812753991,0.9755867540121388
C0016436,0.970623543535061,0.9636079252463641,0.9563804730979908
C0004610,0.9657833179969213,0.9539504791060799,0.939015893233411
C0003873,0.9727032194749448,0.9652558330352712,0.9770158656454478
C0575090,0.9586755063991667,0.944586325896979,0.9705607971421415
C0442874,0.960627942741189,0.9444303629949802,0.98
C0678222,0.9679850095248268,0.9548236247824748,0.9678450282984528
C0700594,0.963956337714413,0.9513104020485448,1.0
C0011849,0.9623896157193148,0.944864434839267,0.9774704110999933
C0024141,0.9629176030908311,0.9554446364759689,1.0
C0042029,0.9636633965593975,0.9496540966542244,1.0
C0027497,0.9573144853381864,0.9409525410630575,1.0
C0262385,0.9516688437457772,0.951401033664434,1.0
C0002622,0.9593108998541322,0.9448198124096112,0.910015893233411
C0917801,0.9597013018296834,0.9423036775456173,0.9266825599000776
C0020615,0.9540807406332157,0.930547899176202,0.910015893233411
C0011168,0.9685742309079785,0.9574763049969092,0.9619706863762846
C0008033,0.9602890960714114,0.9437741545625505,1.0
C0011615,0.9449336735704073,0.9144104336836484,0.9406272377428898
C0042487,0.9563530250030943,0.9334102387734778,0.8504780955265976
C0017152,0.9695238235128513,0.963955733798983,1.0
C0009806,0.9653767591692761,0.9562848483167582,1.0
C0036689,0.9905217292892712,0.9903903338402886,1.0
C0026650,0.9615221554610178,0.9430320448876006,0.9332874924943421
C0042909,0.9797178130511464,0.9796312148848357,1.0
C0038362,0.9662243498222334,0.9552013628850811,1.0
C0029408,0.9621027191007886,0.9466595763307653,0.9579581415544942
C0037315,0.9680674338502488,0.9573984738630842,0.9475877369847108
C0033687,0.9633546394714162,0.9459563821854109,0.939526558198698
C0012569,0.9664638499653684,0.953716380631204,0.9520801067976246
C0035309,0.9582020583910944,0.9393766761952944,0.9114138115876745
