Relation,AUROC,AUPRC,AP@50
C0005779,0.5006986525650194,0.49338886398805454,0.2335041534143146
C0011991,0.4949287343591366,0.5002570205076728,0.31402307855894607
C0011860,0.5011657046977449,0.510890738287783,0.36027011256108515
C0038395,0.5168648105682622,0.5313031442152004,0.37922336586851285
C1145670,0.49491532534585625,0.49154085412816106,0.21609117881237608
C0012833,0.5104856454041079,0.5121282944251995,0.3895328876695212
C0520474,0.5096169924197385,0.5098570025282347,0.292165258671764
C0021400,0.5040404040404041,0.5068724075982072,0.3258754483521746
C0024902,0.4990438317650486,0.48296571812229705,0.14011371401844966
C0043144,0.46388641854276813,0.4674179841383322,0.12666076605402074
C0085682,0.5535841376468678,0.5594445473211979,0.42168940178946096
C0020676,0.48913537536930884,0.49726785067308693,0.2799000618090369
C0151825,0.4942701247165533,0.49414591379477024,0.1831959834020188
C0013604,0.5065712456719258,0.5009384281683888,0.17827164748379498
C0042571,0.48488103177045927,0.494559105196754,0.25695839407052945
C0009782,0.5756976259891712,0.5838492064854979,0.3973658400352077
C0008325,0.538388872977892,0.5288320493574092,0.19183600290747913
C0013144,0.511724030975693,0.5028108789833283,0.2320869225020255
C0013362,0.5004737371031105,0.49758986368120983,0.20174461685153344
C0031046,0.5388557890786264,0.5229373652946301,0.24450466779566266
C0043246,0.4962845710768148,0.5185561722417216,0.3727316353693656
C0151908,0.5100247758596371,0.5128331607596637,0.31537862183096005
C0231807,0.49035118582295373,0.4943105822650846,0.2391726471426232
C0026946,0.49868034248221366,0.5002312232378412,0.25078871666571695
C0162297,0.484996245967509,0.47881019325079255,0.14566623685718583
C0235946,0.49422935522837486,0.5036582730599881,0.27759820385536954
C0030554,0.5001659703046162,0.5018310159890881,0.3441713899751101
C0040034,0.5142902987731048,0.517988920498387,0.2918619055719308
C0032285,0.49239249233736726,0.4944112488822562,0.2519626654793196
C0151723,0.49775011018822535,0.49307873766738397,0.2044781169553382
C0036983,0.4967777523802416,0.4946838576141348,0.21569242423566293
C0025286,0.531272826880935,0.5720620377261917,0.45714399320068827
C0027121,0.49685654726806133,0.5025974109083997,0.2766023022375223
C0027022,0.5388313609467456,0.5541284660707356,0.306376968988147
C0013384,0.5015215325875496,0.509290048077799,0.35051302238055143
C0016436,0.5246804604194619,0.5126449936380288,0.2396259710337297
C0004610,0.49250952434189593,0.4954285382645325,0.21081102509148805
C0003873,0.5184688030402009,0.5160228376321716,0.2782976333423813
C0575090,0.5132723268243659,0.5251185006059984,0.414095043573276
C0442874,0.5006676162623404,0.5012427675416753,0.3004051947117884
C0678222,0.49167245277644256,0.5077555421367708,0.388314835928957
C0700594,0.49494764981064826,0.5128519367830863,0.3393786396612773
