Relation,AUROC,AUPRC,AP@50
C0005779,0.7912322631638375,0.7434443054180685,0.6060020682034556
C0011991,0.7786515125544435,0.728998629497176,0.7523149467536343
C0011860,0.8070592195989615,0.7571811280592277,0.8194520362129792
C0038395,0.8068344776997244,0.7678882422815367,0.6898222220707885
C1145670,0.7969843268275794,0.7504715880132806,0.674100887152871
C0012833,0.7741164580416267,0.7188221806636104,0.568330040078943
C0520474,0.8098989298454221,0.7605334756892514,0.7260457189760947
C0021400,0.7972291092745639,0.7368123858072464,0.5782683624040772
C0024902,0.8335760691987184,0.7950259729942369,0.762033473479501
C0043144,0.8296558243758972,0.7856152252429224,0.8002473727940381
C0085682,0.7854761577744758,0.7417935090019624,0.6569366520455476
C0020676,0.8172363071639606,0.7572820929596262,0.573062067411735
C0151825,0.7985997732426302,0.7439943660916065,0.6731301596545914
C0013604,0.7818013984233254,0.7242908004879048,0.623824586243733
C0042571,0.7859020724325433,0.7255760096069922,0.6798077568888446
C0009782,0.7893586005830904,0.7655924353348598,0.6822537939283062
C0008325,0.8409186445062407,0.8110584971084888,0.8334277441664975
C0013144,0.7767161216281881,0.7155058703534793,0.6296964981872253
C0013362,0.7933171759725468,0.744611427734352,0.8276447190713172
C0031046,0.8039500844436104,0.7679940866341781,0.7503644487179488
C0043246,0.8097436573890867,0.7679000748767011,0.7616236036244374
C0151908,0.7929206507189257,0.7294215381847737,0.5721763575251455
C0231807,0.8059863820449178,0.7567056473643616,0.7074709118567221
C0026946,0.8091785009696584,0.7593168203073224,0.7803737750825239
C0162297,0.794911567095424,0.7441116784092716,0.6281430919789639
C0235946,0.8029402496454894,0.761814557209422,0.7483141694144344
C0030554,0.790042938310515,0.7336156884188718,0.5944822264453016
C0040034,0.7566381806712121,0.7004636102434144,0.6027854962457335
C0032285,0.7760606167738646,0.719242790704102,0.5369644687561909
C0151723,0.815543202326082,0.7794825649601557,0.8346833123246937
C0036983,0.7753371522934753,0.7268694443464923,0.7067369559548423
C0025286,0.8817111029948868,0.8731654900565085,0.9238569881697295
C0027121,0.7719190425964837,0.7119908385248663,0.5522375717671304
C0027022,0.7980769230769231,0.7773609258750447,0.5485916496631816
C0013384,0.7897000013769524,0.742789628408315,0.7043546917461688
C0016436,0.8020620012710967,0.7739268592051183,0.6851356661583289
C0004610,0.8028375228971198,0.7622438473637294,0.7293048432716154
C0003873,0.807660757484914,0.7539236151213352,0.7488598588894178
C0575090,0.8023014394942982,0.7357755605184828,0.524283817938489
C0442874,0.7808728486404977,0.7218955599340857,0.6212171903236662
C0678222,0.8135359361925618,0.757779247037571,0.6531298927750855
C0700594,0.808527511695255,0.7479503659149512,0.650235164492782
C0011849,0.7950109519006368,0.7395662442487382,0.7269847912357511
C0024141,0.8089252796646549,0.7574288802541811,0.7240000680724569
C0042029,0.8019184572310242,0.749770778380096,0.8001167577924321
C0027497,0.7742839217500785,0.7194528023314398,0.7346806134257307
C0262385,0.808341966578082,0.7601601497411528,0.6564486153574457
C0002622,0.8011925959458781,0.7405348267717652,0.5348540820494314
C0917801,0.7754166797582767,0.7142304489236119,0.5719518131896534
C0020615,0.7817164239286463,0.7144934134953281,0.44878971607800133
C0011168,0.7984571557443035,0.7368244905463187,0.5762372156551743
C0008033,0.7890202506675911,0.7226445764223535,0.5350717711591612
C0011615,0.7585086768253793,0.7053607126858153,0.6348071671306621
C0042487,0.7850456451708223,0.7222080644172452,0.5231667605506558
C0017152,0.8163726111816975,0.7687650891317609,0.7300188669261709
C0009806,0.7996166720656517,0.7491270561624551,0.6458822116862677
C0036689,0.8629470348574015,0.8330137078444652,0.8249743004178229
C0026650,0.7893610904005185,0.738359999351308,0.700459489545936
C0042909,0.8158226253464349,0.7759573288029267,0.6617374288175455
C0038362,0.8048329414070154,0.7418426610915724,0.678265140268169
C0029408,0.7947868062491614,0.7323141352552344,0.6610574259756895
C0037315,0.795910538137565,0.733721967460454,0.635906123947737
C0033687,0.8062787273771904,0.7557687858363127,0.746679241557131
C0012569,0.8242442325110555,0.7803784243557113,0.8198872601619187
C0035309,0.8053163434385866,0.7689377390626864,0.6379898672452453
C0016977,0.8115156099924352,0.7570747681924522,0.7245819925769469
C0013473,0.7865606833924804,0.7199042849371491,0.577620187023225
C0004144,0.8192249162404613,0.7700813131230686,0.7580891699006622
C0018681,0.7759095047575898,0.7150353123056297,0.5796193997151464
C0008350,0.8112113259066801,0.7647681921622417,0.7975489956580348
C0027051,0.7945255463570482,0.7513476473292551,0.7340498860175712
C0030794,0.8124740484429065,0.7607225361052645,0.6631170486978152
C0004238,0.7888781822586147,0.735352517279174,0.5858813600490289
C0005697,0.8611176748582231,0.8274311947789612,0.7447632976196031
C0011606,0.8015840061514802,0.7872548238593949,0.8426555625139752
C0020517,0.7655868213433485,0.7046740397377205,0.5173193758883251
C0011175,0.7869619802088759,0.7335178897575906,0.6352608403874263
C0030193,0.778790987552739,0.717069843557147,0.6399978629236928
C0152031,0.7908522889406449,0.7413377231091837,0.6433212506353625
C0004604,0.7847535365248515,0.7330564816865079,0.6660481552126647
C0030196,0.7802305892159457,0.7171679239967312,0.5905711691476501
C0039239,0.7885635604098111,0.7300287141787207,0.5620258095513766
C0018808,0.8186190162115065,0.757931209580664,0.5649925465295849
C0018524,0.7867495074972696,0.737418549299913,0.7648831501861867
C0039070,0.7905387376672895,0.7297783248479719,0.5125181082123225
C0019079,0.799768932366335,0.7444589409967044,0.6305151677571973
C0031039,0.7980033312404978,0.7348742915890815,0.5789260544337504
C0035854,0.8364332022531619,0.7835667622737816,0.7097658542115299
C0011882,0.8136324353041091,0.755288758415079,0.6872561530184812
C0000731,0.7898395536702154,0.7349784527363388,0.6754011755688067
C0009676,0.7779703137206092,0.7204263325096066,0.5501481009477318
C0005758,0.7916120912763539,0.7441430076546021,0.809526576645457
C0043117,0.7729071110955499,0.7094985306015129,0.5423936189970143
C0344232,0.8019419656883433,0.7464701077253182,0.6685831280029154
C0018944,0.784774711603179,0.7350837141901359,0.6365231382863901
C0019360,0.8146377303875236,0.7683013519377249,0.7733146053298537
C0221245,0.8412841854934602,0.8016722171720372,0.7322132188534777
C0025345,0.7652280379553107,0.7159259435025465,0.5370672411304617
C0003850,0.785709229830371,0.7203625093530315,0.5368610306451869
C0011848,0.7920135275754423,0.7497077876993654,0.6301623540968972
C0004096,0.7938635403889078,0.7218010677185147,0.46815680646117586
C0000833,0.8083641151220825,0.7586060412442628,0.7097142023058467
C0030446,0.7842466317796998,0.7273174974523938,0.6497386885993867
C0036974,0.7616216939169262,0.715919495797732,0.6381798240257655
C0026764,0.8238105671876036,0.7600147498313624,0.6277511808171576
C0003123,0.7901779176817572,0.7366294525097552,0.7374812181147311
C0034212,0.8070094304438169,0.7578569738816439,0.6949394760633599
C0037199,0.785305688919372,0.7249669102420729,0.6129100159178698
C0575081,0.793943458365602,0.753114340928556,0.7816744727439877
C0162283,0.7909164203171191,0.7071650286004202,0.4682993917882238
C0152025,0.8281453476160471,0.793106158948359,0.8479994746373234
C0020456,0.7838446061736082,0.7228145116644382,0.5963338381048994
C0033860,0.7839002389325888,0.7098964782063879,0.5193723709896205
C0162429,0.813654065322881,0.7676901540982295,0.6806430412405833
C0002871,0.7737888568428246,0.7147536418992082,0.5549706402899798
C0006277,0.8097435595666193,0.7531698336823569,0.7291344228201428
C0263912,0.8234818701542799,0.7736469155725751,0.7530599884404023
C0042510,0.7900376290528671,0.7341785078123774,0.6160797295692595
C0010200,0.7994491569629802,0.7436337779191393,0.5778491035677535
C0009421,0.7846071682327864,0.7246173782187902,0.6254629422468599
C0243026,0.7815820796489149,0.7401772062743508,0.7909994209690733
C0027651,0.8251753826530612,0.7866119377573888,0.7053593589828102
C0019158,0.7693254862676351,0.7106911431899059,0.5128206345698294
C0035455,0.8395946613939693,0.7987898998640982,0.7239726168855074
C0242422,0.7987019972031983,0.7662311343998428,0.6860986507112437
C0022104,0.8042336520144564,0.7301191285840859,0.4719321757823135
C0151766,0.7854657280622304,0.7336992648885827,0.6187144990924761
C0015469,0.8049475270077796,0.7484165353079014,0.6377865245874417
C0027343,0.8229527104959631,0.7769785612389095,0.6729280096388343
