Relation,AUROC,AUPRC,AP@50
C0005779,0.941891866460913,0.9262945666174969,0.941435306077274
C0011991,0.9317843439737351,0.9154925671668188,0.922682391967274
C0011860,0.9531125665666892,0.941612805792784,0.9779148555444378
C0038395,0.9351907534314471,0.9134800052149956,0.9436595633015312
C1145670,0.9268007601917968,0.9064904923872311,0.9531155805706648
C0012833,0.9217915009667172,0.8975359598872235,0.9280585600150089
C0520474,0.9291278054399524,0.920543072669197,1.0
C0021400,0.9457300275482093,0.9347321649079472,1.0
C0024902,0.9607147832474259,0.9478078078250212,0.9508764781682878
C0043144,0.9513812541577675,0.9355220262786789,0.9511362972675552
C0085682,0.9415150644907541,0.9322094624904301,1.0
C0020676,0.9520940127774551,0.9428789295858405,1.0
C0151825,0.9432837301587301,0.9312663673639943,0.9647017234551478
C0013604,0.9236297526292645,0.8963403344904045,0.8630093916378765
C0042571,0.9405479463766628,0.9215088402369285,0.9056965265016566
C0009782,0.9463765097875885,0.9391242640099552,0.9619706863762846
C0008325,0.9499704363411277,0.9376716530805465,0.9233817684673962
C0013144,0.9292099957610033,0.9121115458627198,0.9368004865741948
C0013362,0.9379594300372933,0.9248344527360273,1.0
C0031046,0.9394586226308876,0.9161882968175782,0.8838697738778408
C0043246,0.9570354457572503,0.9503188138580773,1.0
C0151908,0.9361841982707462,0.9240176762496338,1.0
C0231807,0.948721458599128,0.9343924530021217,0.9678450282984528
C0026946,0.948260203767975,0.9386674461406878,0.9740476177098445
C0162297,0.9359091771655816,0.9195726545327407,0.9102707181504636
C0235946,0.9351989636035783,0.9157386421456071,0.9423706863762846
C0030554,0.9279879714901184,0.9030862730970847,0.8741036960262984
C0040034,0.9118420745207934,0.8875651168407279,0.7860776231753492
C0032285,0.9307818758902318,0.9220722729530588,0.9647017234551478
C0151723,0.9525558543260411,0.9456796342263762,0.9705607971421415
C0036983,0.9325205603422136,0.9186441734759958,0.9423715942842839
C0025286,0.9696859021183345,0.9667351286224536,1.0
C0027121,0.940228720444485,0.9267692509824381,0.9745739334993182
C0027022,0.9515532544378699,0.9552944077628694,0.8652539440069846
