,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize_args.weighted,entity_embedder.regularize_weight,relation_embedder.regularize_weight,entity_embedder.dropout,relation_embedder.dropout,job_type=1vsAll,job_type=KvsAll,job_type=negative_sampling,train.type=1vsAll,train.type=KvsAll,train.type=negative_sampling,train.optimizer=Adadelta,train.optimizer=Adam,train.optimizer=AdamW,train.optimizer=Adamax,train.optimizer=RMSprop,train.loss=bce,train.loss=kl,train.loss=se,lookup_embedder.initialize=normal_,lookup_embedder.initialize=uniform_,lookup_embedder.initialize=xavier_normal_,lookup_embedder.initialize=xavier_uniform_
train.batch_size,,-0.001544034501355837,-0.001544266607386012,-0.00154318333800154,-0.0015431833380015261,-0.001536312189464914,-0.0015431601358122488,-0.0015418372602659103,-0.0015465156277698934,-0.0014051683640386677,-0.001462663917282954,-0.001494208290112938,-0.0015637878161524825,-0.001566272187068281,-0.0015693502243039764,-0.0008199624158314323,-0.0011660245756488132,-0.0005041828739252591,-0.0006212275722054517,-0.0018251842034598918,-0.0012487946173887756,-0.0013970290921737107,-0.001412351713714493,-0.001480883152971766,-0.0016823428105940004,-0.001780328705057667,-0.0015393119105900493
train.optimizer_args.lr,,,0.0002390581092606911,0.00023965039448172604,0.00023928908798719756,0.00023852953576462832,0.00023933043292137925,0.00023882781275435389,0.0001640324989963353,0.00023195449095973677,0.00023435188101640116,0.00022365128594916783,0.00024689828372221776,0.0002533837331912811,0.00021384031697649027,0.0001766330368374036,0.00014180588900964547,3.0429114481212924e-05,0.0003027132559251522,0.00011031010737852856,0.0002227033283904961,0.00027626937349547326,0.00022207058510628156,0.0002567330548826352,0.00029335315235441,0.00032194714736529656,0.000291055092425635
train.lr_scheduler_args.patience,,,,-0.005062222808668727,-0.005009495390322881,-0.0050083869345269455,-0.005008219032671865,-0.005009495390322895,-0.005002162989937518,-0.004808681523893205,-0.004469334468810481,-0.004449362977372945,-0.00454773939191404,-0.004866474642744396,-0.005153548442124761,-0.007726553353728294,-0.009119338680213758,-0.005477618814028615,-0.007890913914441702,-0.0026069912512132008,-0.005302470282249517,-0.004922012399860863,-0.00034620250308230616,-0.003929215947198472,-0.006300914909726582,-0.005719997879501059,-0.004829825305972896
lookup_embedder.dim,,,,,0.005807420404262215,0.005819557651653526,0.005807261589254686,0.005816634075570967,0.0058138069108578105,0.005238205870634258,0.005694594875185686,0.0057202032364211675,0.005651641797877157,0.006728123075310086,0.005211511210534522,-0.0028748378365655858,0.004383923356669997,-0.00013647387526395313,0.002343243158009198,0.006416244515476148,0.005987549039107231,0.006829444107783973,0.006016834221904378,0.005216948532174075,0.006298662202884711,0.005037760429436809,0.005249521337583912
lookup_embedder.regularize_args.weighted,,,,,,0.01367929541687217,0.013679295416872175,0.01367929541687217,0.01367929541687217,0.013772831146345133,0.01409780854878668,0.013512132664336964,0.013049249318400962,0.013179477309290366,0.01297777744582336,0.01150023130221689,0.02008669723134239,0.01339033255951452,0.01515229591783078,0.014730375454638704,0.01186283071805106,0.013466041191483473,0.011473837410606171,0.009707764560455003,0.012486134540672668,0.010372000518654466,0.007324350190092699
entity_embedder.regularize_weight,,,,,,,5.6291653048231574e-05,3.9193628208880615e-05,4.1800173518208306e-05,0.0010180998082889828,0.0006366377269491361,-0.00047514729116517095,0.00014718229142095815,-0.00020274159483461217,-0.00026058679715121997,-0.012360038960655989,-0.001416122091623409,0.009997859155634819,0.002737182896015905,-0.009170418912989755,0.0028359885421517985,0.00032710302597498825,0.0010021713289889529,-0.0011481095256850107,0.007103988215030872,0.005726609912669899,0.003724078676283063
relation_embedder.regularize_weight,,,,,,,,-1.0956041728696353e-05,-6.411112327235624e-06,-1.7210953905909265e-06,-2.132021349544053e-05,-7.312490567650074e-06,-5.451915032924368e-05,2.7857681311476936e-05,1.5912433864565673e-05,0.001280390058360753,0.0009605759756140843,0.00023962781768130728,-4.46459802105198e-05,0.00016663035222660993,9.595682832807227e-05,3.7365615435842187e-05,3.086377460092063e-05,0.00021682054903844616,0.00021542355374399875,0.0005629332787816695,4.9885917016351256e-05
entity_embedder.dropout,,,,,,,,,-0.010561703277192483,-0.010607276272045576,-0.010186702688771754,-0.010217869105263802,-0.011591805325819356,-0.010649111714878506,-0.010547341297477343,0.0019773890553987927,-0.006915707402571768,0.004194044270815319,0.001033696577108778,-0.008078036140932438,-0.01089618173154123,-0.009490109604097428,-0.00800876375551467,-0.010429987335170567,-0.0125192057416497,-0.008780896897386183,-0.009152258274856884
relation_embedder.dropout,,,,,,,,,,0.001315964387675898,-1.6745835330683398e-06,8.607736525484714e-05,0.000654159619866894,0.0006634174053884369,3.689248794317584e-05,0.0003367829704875869,-0.0037202815610808126,-0.00013451623777520003,0.0022585990570180986,-0.0005589165553539586,0.00038118943772457066,0.0008568721639123505,-0.00010128903473895657,0.001514393648616573,0.006903482827083271,0.0015817729027066,0.0025323535547800147
job_type=1vsAll,,,,,,,,,,,0.0026819587611768923,0.0025857946948163683,0.0016479683770530347,0.0017634135220887307,0.001658960387977918,0.0024584682488610066,0.0038377156291661725,0.003916806248030039,0.003859777150083371,0.003016732797741296,0.00163005942289228,0.0023657099438395487,0.002368791571196319,0.0027414924519400877,0.0033798579159538406,0.0012810008782638662,0.0032064739207188497
