input,sensitivity
train.batch_size,0.0010515026178341922
train.optimizer_args.lr,7.903012880358749e-05
train.lr_scheduler_args.patience,0.02629854432285629
lookup_embedder.dim,0.049264661869566635
lookup_embedder.regularize_args.weighted,0.05739136917119955
entity_embedder.regularize_weight,0.08918289414113643
relation_embedder.regularize_weight,0.0009772578700254465
entity_embedder.dropout,0.05139242708541714
relation_embedder.dropout,0.032629955325738834
job_type=1vsAll,0.0038819002329660416
job_type=KvsAll,0.003051324793316892
job_type=negative_sampling,0.0015386796124458788
train.type=1vsAll,0.003792960048376884
train.type=KvsAll,0.0029644815045652526
train.type=negative_sampling,0.001516827346361453
train.optimizer=Adadelta,0.3535052217127595
train.optimizer=Adam,0.08100012536812157
train.optimizer=AdamW,0.08825497130918476
train.optimizer=Adamax,0.16204245035595852
train.optimizer=RMSprop,0.07875793944896549
train.loss=bce,0.019124168567087717
train.loss=kl,0.04865824530524868
train.loss=se,0.03127212340601637
lookup_embedder.initialize=normal_,0.06752510843403071
lookup_embedder.initialize=uniform_,0.03838927641740567
lookup_embedder.initialize=xavier_normal_,0.044838405723426566
lookup_embedder.initialize=xavier_uniform_,0.1448990367300881
