Relation,AUROC,AUPRC,AP@50
C0035258,0.9384249057616805,0.9240462710331473,1.0
C0019360,0.9377538324078449,0.9199098334280043,0.9535152404346102
C0013473,0.9462632227356188,0.9308680480099755,0.9243782323587664
C0020461,0.9165252726794066,0.8859519909959508,0.8510357654271467
C0162429,0.9340988582624855,0.9071623813489509,0.8891777424499362
C0032617,0.9368665745053667,0.920837194143583,0.976550749366378
C0042769,0.9271393406573165,0.9091017558512201,1.0
C0020557,0.9601249178172255,0.9569057727328778,1.0
C0836924,0.9304597976315874,0.9074471686700052,0.9161838332326963
C0042963,0.8871159085455084,0.8436031166914486,0.8538366370607092
C0015672,0.8997576406734137,0.8610123192525598,0.8888654482378299
C0011880,0.9333194231556308,0.9032466145097148,0.8741036960262984
C0020651,0.9202972341199855,0.8950341009368721,0.8730567335800116
C0032227,0.9153480270298658,0.8864859759793625,0.9218103547309255
C0015468,0.9575552327680986,0.9420835009876256,0.9711857971421415
C0020255,0.9436950061185245,0.9346339407883735,0.9750867540121387
C0031256,0.9237449895018133,0.903367813541291,0.976550749366378
C0011630,0.9330013580805794,0.9106186488285811,0.9086508882365161
C0032285,0.9042267673483463,0.8709986220615146,0.9566992763062673
C0014130,0.954461367405036,0.9462552919602054,1.0
C0018188,0.9409639309110909,0.9190954345984477,0.9209477331421718
C0025222,0.9019723865877711,0.8579234366083563,0.7313439708326159
C0042487,0.9046000876440803,0.868640501112682,0.9655350567884813
C0085615,0.9288468505770924,0.8890784920061412,0.8067637707308917
C0004153,0.9383722670799249,0.9220148355505895,0.9795999999999999
C0011168,0.9245576782193254,0.9002595574362976,0.8950424722635373
C0042510,0.9179500086240578,0.8942395340025042,0.9150305540391203
C0026858,0.9303295231154913,0.898472923402424,0.940848023883205
C0043096,0.9033433305736834,0.8689916948903174,0.9054022019990035
C0035078,0.899917695473251,0.8612069631932249,0.91308348774743
C0428977,0.9104909481955664,0.8831161005971857,0.9678450282984528
C0013221,0.9024904763173318,0.8662758530712845,0.8900904463008981
C0036974,0.9135296976406356,0.8794287868036536,0.8590510137094182
C0079035,0.9199930124901738,0.8853842197662614,0.8102721544670456
C0232492,0.9067039341269965,0.868199542940707,0.7962653413234948
C0013404,0.8929196722046432,0.8466185433903265,0.7033547226519936
C0018926,0.9128860294117647,0.8889379671403268,0.9705607971421415
C0010054,0.9276561008593797,0.8992203063409046,0.8593753306606747
C0020541,0.9348148148148148,0.91500547584426,0.9179597901026932
C0034063,0.9141930536683999,0.8818955124037609,0.878517572592389
C0020295,0.9281329095102464,0.9048157163900032,0.8973665344950191
C0017658,0.9314725249111357,0.9171041223458906,0.9385226418536257
C0008031,0.9086219820550588,0.8740044349061827,0.840188522368331
C0235946,0.9245636455944399,0.9007925707085931,0.9167894642717694
C0020458,0.9073801884034863,0.8722419137759784,0.9184353998587907
C0344232,0.91644464908432,0.8830980793783019,0.840147246792756
C0020565,0.9543924089378635,0.9216498597840104,0.8656728150612765
C0015230,0.8845482789059996,0.8354151420941857,0.8043273708957064
C0235527,0.9188763940950531,0.898382819429496,0.9504134401309579
C0002170,0.9227029098627613,0.9035537283491133,1.0
C0020649,0.8908578173045859,0.84964102749942,0.8659362910888457
C0037928,0.9571051919956733,0.9489956798169878,0.9609706863762847
C0006826,0.9307054802550297,0.9026083532225141,0.9116200731132836
C0242429,0.9264509678230652,0.8958102390422392,0.8562367106845887
C0341047,0.9565625,0.939586603900175,0.9051827921490401
C0021400,0.9296074380165289,0.9106611434190833,0.9795999999999999
C0016204,0.9391532114069993,0.9235862602300677,0.9717918577482021
C0018681,0.9061452297584243,0.8729339702755573,0.8335368300370728
C0442874,0.9039857766405077,0.8673771617446002,0.8618703315918591
C0013604,0.8940287901669455,0.8475717532846181,0.7063187272623881
C0034186,0.9393544124264501,0.9272203627447346,1.0
C0005424,0.9634508436233387,0.9578807188031696,0.9787751700680271
C0149512,0.9549557611212404,0.9401528494649026,0.9393299863651674
C0017168,0.931972548907651,0.9071017729227258,0.8878333737684106
C0152027,0.929446875576346,0.9113605741217412,0.9779148555444378
C0005779,0.9330222721969212,0.9052572124099302,0.9063129433973516
C0022104,0.951361071053428,0.9371042597026817,0.9443730360905538
C0015967,0.8878985090905345,0.8513201865662596,1.0
C0029927,0.9553627180899908,0.9429767466446406,0.9760745588901876
C0043094,0.918829394215652,0.890254896198676,0.8873148987598101
C0001418,0.9217002916869227,0.8840275406362847,0.8001071135507083
C0038663,0.9255316072007036,0.91415104272652,0.9717918577482021
C0022408,0.9339057756046173,0.9138524423058051,0.9717918577482021
C0152029,0.9718032786885246,0.9690818122368221,1.0
C0004238,0.9123722276510651,0.8755868522942725,0.876763714892147
C0020542,0.9250846800739027,0.8968955068037986,0.910015893233411
C0013456,0.9479132451451722,0.9313425969068398,0.9520801067976246
C0162298,0.935647688950605,0.9252558969830083,1.0
C0001948,0.9368573128239993,0.9299782415712962,0.9723800930423198
C0497156,0.9265752226311474,0.9055456887914426,0.9774704110999933
C0033860,0.9494751536954013,0.9391432523193101,0.9795999999999999
C0020505,0.9473407827000223,0.9320333739119986,0.9469425756943882
C0023798,0.9351894232061273,0.9129432029500478,0.9619706863762846
C0085631,0.8953595516762547,0.8567850524920183,0.7086170306095219
C0085602,0.940451087757485,0.9296199206811351,1.0
C0009938,0.9343806210466268,0.9166947262018936,1.0
C0007859,0.935437019619257,0.9120805643211074,0.9239526998258539
C0917801,0.9059961667766362,0.8717658737544641,0.852051355514889
C0220981,0.9115607173636475,0.8815728254094043,0.8718099396955991
C0243026,0.9097168969837365,0.8800363673135354,0.9536185683360862
C0018800,0.9237440320370536,0.9040518978131736,0.9791918367346938
C0020258,0.9367603550295858,0.9242642551895573,0.8270328264561929
C0030196,0.913139694971029,0.8790485075360575,0.8622311088072201
C0152128,0.938565314007222,0.914727397596738,0.8626868160158044
C0027497,0.8870725400808559,0.8499361163166044,0.9599180547973373
C0020676,0.9463713037549556,0.9250376942403936,0.9266825599000776
C0003850,0.9302583174072989,0.9079226084782972,0.9723800930423198
C0038999,0.9302728155816465,0.9100934195397837,0.9485952583127761
C0011124,0.9456525774190914,0.9250960281463417,0.9310701135769633
C0037011,0.9413579296713852,0.931983793330395,1.0
C0004604,0.9142538271808831,0.8843616142028944,0.8970700715434959
C0014175,0.9779458097038437,0.9805277685373442,0.98
C0020443,0.9295384430688274,0.9130599198708058,1.0
C0031039,0.9290321241587579,0.9043657597145165,0.9791918367346938
C0018621,0.9613312636961285,0.9487298821847318,0.9647017234551478
C0085593,0.9110823140495867,0.8758053877653248,0.8820392111886443
C0241353,0.9496527777777778,0.9472440256992861,0.9146712240690487
C0014868,0.9267138463376036,0.9050061252525543,0.9471231609103785
C0039239,0.9288184088310112,0.9091235740723783,0.9455357587714023
C0030312,0.908646065086251,0.8825127293146977,0.98
C0575081,0.9178511934755377,0.8859244551900913,0.8763842833552267
C0476427,0.9812875918912898,0.9789388677479761,0.9529332334882009
C0740394,0.9119472658253822,0.8856453208590163,0.8865202120651466
C0020625,0.9030913684331828,0.8659337765784704,0.8834545505951532
C0020538,0.9079502503298857,0.875846350630048,0.8212706295327519
