Relation,AUROC,AUPRC,AP@50
C0028754,0.9760714728929547,0.7606400968274643,0.6697712033904724
C0043096,0.9591069953082435,0.6112468529215174,0.5042456585108177
C0005779,0.9670280684256087,0.6708828083099468,0.5515860865961009
C0149516,0.9734769687964339,0.7244564716318396,0.5957178816964741
C0023890,0.961110654964038,0.6398134217527,0.6361983861098792
C0023524,0.9670516676354874,0.6796278325254447,0.6115508580689488
C0002871,0.9621012819206218,0.6416077753099754,0.4277098701867513
C0497156,0.9603251341773261,0.6263569148525472,0.4678984940459625
C0022660,0.9571269221724381,0.5889675498816497,0.32297286548178916
C0005747,0.962758705111876,0.6476137587672092,0.5305386725913206
C0456909,0.9606815509593288,0.6391239816675204,0.5732839368017918
C0036572,0.9518782133737825,0.5460097778305184,0.3430363687125141
C0017160,0.9700030909401007,0.7141502273190319,0.7639239587956578
C0006277,0.9678387184492577,0.6921356519822878,0.789602972413749
C0042963,0.957693863486194,0.6038486760534584,0.33713790244278724
C0006849,0.9594845466051526,0.6340292873594618,0.4951001065914892
C0021311,0.961414219798561,0.61496822569765,0.43647284196598446
C0018944,0.9594987936110428,0.6134711300664782,0.46277451907831835
C0037383,0.9648276345064998,0.654120169202317,0.5273298612725923
C0007859,0.9689783731758171,0.6822527597538327,0.5664466234464816
C0007570,0.9784520238250511,0.7735858250753256,0.6740606457226324
C0039070,0.9585295819135949,0.6098963794714948,0.6435594375643974
C0019193,0.9636282150647278,0.6844180693705285,0.6605987822965773
C0043144,0.9653821969269465,0.657596993618688,0.46445313784930514
C0027497,0.9606341625007623,0.6272824823518941,0.5150642775100096
C0678222,0.9661177692724369,0.6614287687019053,0.44544930780585856
C0917801,0.9604656004859607,0.6498534098785246,0.5861998194912184
C0038379,0.9661704260651628,0.6700264121295169,0.5294034730231566
C0027404,0.9619029517452792,0.6424700789078048,0.5191611794785618
C0878544,0.9648350485208012,0.6551796539544541,0.46381528580962333
C0030554,0.9595732211085628,0.6105208005910874,0.5627865451477143
C0011880,0.9692719393962299,0.6921623682605732,0.7040128735707569
C0021141,0.9590821516815223,0.6134153248606813,0.4610096820564468
C0009806,0.9651149232677178,0.6621065533383768,0.49242514599394555
C0085680,0.9640467782378996,0.6422447945304429,0.43774490813020506
C0016034,0.9818639181473874,0.7855556969013455,0.7614732242107626
C0004623,0.9671290944703327,0.6730702495654566,0.5655508562428541
C0018932,0.9655565386454547,0.6679265836828042,0.5214282581435514
C0020651,0.9645981448907439,0.6556106971172889,0.5613214343673527
C0024121,0.9651876459277573,0.658443037904051,0.6050965250222691
C0030193,0.9639815040837618,0.6702601329312039,0.5685945395180029
C0265031,0.9723185341789993,0.764159183449873,0.883284413143628
C0011991,0.9556793303782094,0.5897233996859366,0.4899542378139509
C0037199,0.9691838081488151,0.7026669500664754,0.6442174496702067
C0014868,0.9648938165587868,0.6561526169476493,0.5948876437955213
C0031212,0.9815743467059257,0.8333829089777426,1.0
C0231218,0.9467300892058399,0.515595736464793,0.2902618254288396
C0006852,0.9687618670232965,0.6754857883797863,0.5341638404393283
C0029443,0.9686457294157735,0.6846450970947741,0.5282980866245112
C0018808,0.9635054918577399,0.6168684068673149,0.34797806702815703
C0262613,0.9667786002411943,0.660846660378381,0.5162284854972937
C0038454,0.9641202094569161,0.6409205888785735,0.4111053693073785
C0011175,0.9608291165264109,0.6438987343500384,0.5417508167336588
C0003467,0.9642709562836372,0.6679515240846967,0.6654697608091646
C0002103,0.9770348718645911,0.768975606641274,0.7182022732529912
C0005758,0.9579936031288325,0.6106489914635532,0.35304437234504893
C0043094,0.9645630778313737,0.681252027444316,0.5685031721858202
C0018520,0.9813410971947557,0.8230588707939867,0.7892400164089638
C0037299,0.9653125199641363,0.6799262492952587,0.6143999822907749
C0017152,0.9680229042579495,0.6813055090459379,0.6572246031888439
C0035222,0.9607976492846246,0.6456465076971535,0.5372074476390541
C0011849,0.9660916756422087,0.6786458127837801,0.6262911649048367
C0151827,0.9661686246321385,0.6885370912569587,0.65093694808429
C0041834,0.9553959059723315,0.5947450813106546,0.5051757779780912
C0002170,0.9584596145399563,0.6147687969732846,0.7489388101213125
C0003611,0.9728055928253654,0.7455011611070055,0.7293213669065297
C0015230,0.9511658942534464,0.5514440260054896,0.3295481815100408
C0041912,0.9678932208592319,0.6857846402131889,0.5999976115224018
C0037315,0.9728258823222952,0.7085464853409046,0.6147210558475933
C1510475,0.9676919478775099,0.6841670496357474,0.5062864951777744
C0008320,0.9752573174175602,0.7426541565855047,0.6516772967120855
C0235329,0.9674831218115895,0.7104187731724448,0.7436721808560012
C0009763,0.964020081229803,0.6553532481491633,0.4684086136518836
C0012833,0.9573705575715529,0.6211082875302418,0.6205371092704232
C0037672,0.9728026533996683,0.7256611208847807,0.6015401279290249
C0042769,0.9609967502281702,0.6187053377449135,0.38916459038330503
C0032290,0.9677731906494352,0.6950712104375308,0.6673619220727596
C0003486,0.971180337013991,0.7053893357745179,0.5031399690879717
C0012813,0.9687232681942379,0.685927179092936,0.6047913969280956
C0008035,0.9741147054525121,0.7463071839558311,0.7102505681176332
C0030319,0.9800270404895751,0.8211620930364473,0.9233750420270173
C0149725,0.9568589757918502,0.5950193725994111,0.4664922367942595
C0242429,0.9567952067764911,0.6133757355918178,0.5196317287316934
C0030252,0.9630624536181205,0.6453409503013058,0.5212095986272941
C0035078,0.960299172013125,0.6131640093406212,0.3474699993409358
C0438215,0.963842886033492,0.6644637714693941,0.5345613703584292
C0031154,0.9650329536549511,0.6759460992581691,0.6433999912253721
C0267596,0.9647566646541387,0.6614496171659202,0.5778118919239431
C0085584,0.9578754514990506,0.6305183787313717,0.5766534355767895
C0024141,0.9762495163284972,0.743715746222149,0.6548611185883471
C0015403,0.9792419360340888,0.7692318859426012,0.6961190572617342
C0004144,0.9678758271438495,0.6717370807968419,0.4370683116971801
C0020598,0.962295881243596,0.6479378302569445,0.5771076720002462
C0037928,0.9771306529256221,0.7585964042109056,0.7043047657610245
C0015802,0.9681514881055872,0.6857423503686861,0.6501542493714758
C0011124,0.9693148150351605,0.6939250207292031,0.6346576834004345
C0030196,0.9630076546737474,0.6563513646902199,0.46120235703642043
C0034212,0.9597900233354806,0.6507336753355882,0.7579953726016226
C0018524,0.9595524298045957,0.628420837278985,0.5870437908906903
C0027947,0.9542883069763588,0.6217010139201571,0.7597474104182862
C0025345,0.9767339726894833,0.7256560002374992,0.5710542286896877
C0010054,0.9686407233915598,0.7076157567162845,0.7678097453352969
C0262431,0.9651801444939755,0.7120172542964933,0.7519310289623937
C0032285,0.9610502427093777,0.637009373440798,0.3694780019178871
C0000833,0.9689601122958676,0.7184624598558506,0.7420767582673656
C0004245,0.9590565671672716,0.6175490311411728,0.4672154145640339
C0022116,0.9666268503771744,0.6859266464541363,0.6334131487109549
C0020437,0.9645316576736561,0.649537321896146,0.5131949786442618
C0016059,0.9655675834898192,0.6762748378435786,0.5935457641127432
C0003123,0.9567034356513718,0.5884149015316664,0.4565316639873426
C0037763,0.9649192611613074,0.6615345069803462,0.6002673139609357
C0024117,0.9682718659462846,0.7001741187498218,0.8063467451427536
C0039239,0.9651000263300896,0.6709733673077802,0.5756090110583421
C0178879,0.9657391304347825,0.6448745690838132,0.4828332927356253
C0235527,0.9643094716591918,0.649083077664397,0.5063182868184485
C0009917,0.9672542273152915,0.7036288450596154,0.6208288934688903
C0020443,0.9633124785987944,0.6339414304321055,0.30290640139756625
C0008325,0.9750413522760746,0.7553022770821285,0.6657717880168196
C0398353,0.9675778223074117,0.6894414994351117,0.49855531392300423
C0004093,0.9629980357016292,0.6551689262499982,0.6643475398621064
C0030305,0.9598766786310029,0.6269670776443488,0.5609787051560812
C0151706,0.9646511957987369,0.6897547251803998,0.7390583531491949
C0031039,0.9642876519414104,0.6597513657552637,0.49972721666442205
C0025222,0.9587470044505307,0.6118198929252574,0.46014298687587596
