Relation,AUROC,AUPRC,AP@50
C0028754,0.9819017480409885,0.8120380884442892,0.8160720643315375
C0043096,0.9689976900312958,0.7064267491484529,0.8664744350370309
C0005779,0.9753387406375852,0.7740961026049583,0.9117168807989106
C0149516,0.9829811237686423,0.8151389553250934,0.791594370604225
C0023890,0.9734690827022713,0.7363351876083124,0.772838238858347
C0023524,0.9742462152804104,0.7859298126102991,0.8177229859503182
C0002871,0.9716548378748255,0.7312058585568199,0.9393033851249194
C0497156,0.9703657270797188,0.7323944473895903,0.9213993871202301
C0022660,0.9666479516877242,0.6863028285791454,0.9017206776695958
C0005747,0.9728113715123448,0.7553191445021376,0.9787751700680271
C0456909,0.9697242058353169,0.7195895971193776,0.8790911974274792
C0036572,0.9608429738993894,0.6254690958148063,0.645174925613455
C0017160,0.9780146354422432,0.7909936469091361,0.9122465544174976
C0006277,0.9766708357817027,0.7670262163672289,0.851221517526116
C0042963,0.9678918682915078,0.6970342745183311,0.9339071929750189
C0006849,0.969561711509411,0.7198822708463947,0.8925696522825503
C0021311,0.970168419514978,0.700652552907227,0.7284428212662613
C0018944,0.9692620729239949,0.7137524084421707,0.8065580468950379
C0037383,0.9728514246618145,0.756563011207772,0.8236592599754218
C0007859,0.9776873916306736,0.7939624763800307,0.9351648938598203
C0007570,0.9856147558801791,0.8665203111007518,0.9010615143339996
C0039070,0.9665593268106015,0.6852571935580342,0.911989183359008
C0019193,0.971966670846859,0.7158761380445936,0.5979369505965988
C0043144,0.9726729705459897,0.7293816859398642,0.7305564775011966
C0027497,0.9700746576908706,0.7267398925664771,0.976550749366378
C0678222,0.9758038794332308,0.7727116285404934,0.8163396128014149
C0917801,0.9715155057027053,0.7476268342332326,0.945943560189842
C0038379,0.9750676691729323,0.7738241055879508,0.8364411996307721
C0027404,0.9710629192130598,0.7406263923071764,0.9791918367346938
C0878544,0.9752493396648528,0.7727143547663564,0.8998465122049084
C0030554,0.9681740602486874,0.6897085801970508,0.7153458152484871
C0011880,0.9731428998752834,0.7254977506346719,0.7494454122332609
C0021141,0.9666976068533611,0.685463124054801,0.6954544376221935
C0009806,0.9732620035560758,0.7482851275285154,0.9587833333333333
C0085680,0.9741304808569816,0.751172966013506,0.8664712173423684
C0016034,0.9904090746358651,0.9128766659945696,1.0
C0004623,0.9753595517907099,0.7720404765867938,0.973507077169304
C0018932,0.9739662523372246,0.7504273645151485,0.8488538926575011
C0020651,0.971582299895553,0.729032156977103,0.9286424705658615
C0024121,0.973691991332082,0.7377000928866719,0.6832342407930598
C0030193,0.9743594705065924,0.7713922659718995,1.0
C0265031,0.977390361576408,0.7845808574615281,0.8430769922694137
C0011991,0.9660697344537768,0.6844200146205665,0.892297729328796
C0037199,0.9776744404896343,0.795111443190475,0.9183406202095807
C0014868,0.9727159449585565,0.7462795580394855,0.8891692464734811
C0031212,0.988794100636206,0.8945012307217777,0.9629230673286656
C0231218,0.95750444245646,0.604862148832217,0.674333571421454
C0006852,0.9812893159641388,0.8214140998825686,0.8414391011896079
C0029443,0.9775288514684687,0.7940156958260582,0.9282037617141369
C0018808,0.9740428493894825,0.7382836611709144,0.795877222112098
C0262613,0.9800390901151912,0.8018314431740068,0.7879491285676433
C0038454,0.9737281280929481,0.7507403357360523,0.920015893233411
C0011175,0.9694472739234122,0.7158881078741249,0.8948818779890041
C0003467,0.9744467860906216,0.772797736757086,0.9542874559950598
C0002103,0.9865298076269459,0.8591957003936308,0.9169408497879503
C0005758,0.9689774239217412,0.7165562849304017,0.7898883778087038
C0043094,0.9727687748773337,0.7538297789340724,0.9057451926249379
C0018520,0.9899701530799092,0.8906569467789008,0.8594232108161272
C0037299,0.9726408173785465,0.7490792146790535,0.9060696709011166
C0017152,0.974976845221629,0.7540503791645516,0.9705607971421415
C0035222,0.9707798537600132,0.7313613171558059,0.927297721222308
C0011849,0.9746264765137511,0.7638422916135225,0.9345062130477231
C0151827,0.975086466901147,0.7585298360497336,0.8700324326263726
C0041834,0.965998676275923,0.6903393355296732,0.9729515216137484
C0002170,0.9688574536990752,0.71406613705487,0.882552288187325
C0003611,0.9806016524256762,0.8346391309421289,0.8393249029482884
C0015230,0.9604533500045082,0.6468906578201401,0.8326409596817936
C0041912,0.976162287192642,0.7739548592574123,0.9223509578440534
C0037315,0.9807469205895134,0.7987667245328929,0.9277425756943881
C1510475,0.9760031671742769,0.7817860001950367,0.818308230260785
C0008320,0.9811083414955791,0.8006811530556133,0.7604912279115774
C0235329,0.9743872530182625,0.7590682390943754,0.8300510035768177
C0009763,0.9726274140847265,0.7546527235546779,0.9685593140127385
C0012833,0.9683676034384948,0.7107504624508659,0.912318516721807
C0037672,0.9834403252554433,0.8629248088032488,0.98
C0042769,0.9707502111280791,0.7365454088548422,0.8907375909825255
C0032290,0.9756206716831286,0.7715253956702692,0.8908872568260027
C0003486,0.980128804005761,0.8041875387476063,0.8349923347905213
C0012813,0.9757945834613692,0.758821641659189,0.8792941984362291
C0008035,0.9829358800841292,0.8263104033282049,0.821121687924871
C0030319,0.9836257975758438,0.8478243982236421,0.9294412702401331
C0149725,0.9651784694813955,0.6753274425806365,0.5887324220430221
C0242429,0.9635902908260382,0.660132693453319,0.7382362577628598
C0030252,0.9718957383041354,0.7424367536539216,0.9298233594155012
C0035078,0.9672114508870807,0.6721726983732235,0.7727497423862757
C0438215,0.9719348328277473,0.7387158166955462,0.7916261995954602
C0031154,0.9736566285238851,0.7533383190572562,0.7904700388104885
C0267596,0.9721956789361798,0.7235368054938277,0.7374474578809511
C0085584,0.9690126629454208,0.7327109105386473,0.9054669806619071
C0024141,0.9849284166175619,0.8490329890362153,0.9685593140127385
C0015403,0.9859715989617092,0.8644910960080359,0.9116062815207652
C0004144,0.9755650074724391,0.758945917366081,0.939015893233411
C0020598,0.9719240143997725,0.7465232475842744,0.9774704110999933
C0037928,0.9837277103532442,0.8539454589973657,0.9783496381531335
C0015802,0.9765782264825998,0.7565262293899189,0.7119632474537745
C0011124,0.9777636150541985,0.777315477988063,0.8445621938299505
C0030196,0.9728547201088862,0.7600036462554383,0.976550749366378
C0034212,0.9679785586607907,0.7133036805245162,0.8385640052162364
C0018524,0.9699875629572648,0.737316039745392,0.9705607971421415
C0027947,0.9647676566196741,0.6833296070401373,0.9222979926450932
C0025345,0.9836688421117137,0.8260566489956602,0.7641378701510735
C0010054,0.9780499139560542,0.7961328136624835,0.973507077169304
C0262431,0.9733434037672488,0.7604385367730663,0.8105001792713541
C0032285,0.9693974899505701,0.7160995280306419,0.9539995154447268
C0000833,0.9779330107548831,0.8066381040984214,0.9418730360905537
C0004245,0.9694231019173427,0.7202900424737242,0.811879669816213
C0022116,0.9755983760715418,0.7717119350786343,0.8007781826641979
C0020437,0.9735141042278532,0.7591919971036615,0.8668411498893556
C0016059,0.9775461173091793,0.8000551642703142,0.889192327577033
C0003123,0.9669170526008974,0.6909286323005545,0.9629230673286656
C0037763,0.9754964521034822,0.7787519243472323,1.0
C0024117,0.9755712828345915,0.7693180260881718,0.9416924458080979
C0039239,0.9716056126040832,0.728883757055478,0.9474803423311126
C0178879,0.977038208168643,0.790260937462388,0.7975198612135068
C0235527,0.9746445085700379,0.748972314459202,0.806410193751233
C0009917,0.9831804336204762,0.848639518182993,0.8854757248878775
C0020443,0.9743326357078712,0.7615886934122158,0.9180874142873305
C0008325,0.9811474314421573,0.8152560898541471,0.8366439239482559
