Relation,AUROC,AUPRC,AP@50
C0028754,0.9816313244047619,0.9755798568573888,1.0
C0043096,0.9703116233001317,0.9594932052342077,1.0
C0005779,0.9751496104482669,0.9635316863167829,0.9774704110999933
C0149516,0.9758573388203018,0.969816700468322,1.0
C0023890,0.9769494592433615,0.9609396423552521,0.9356825599000778
C0023524,0.9800521841595824,0.9797899038722482,1.0
C0002871,0.9685115321282545,0.956708794200662,1.0
C0497156,0.9728039606414828,0.9582933810316221,1.0
C0022660,0.9665347103141658,0.9520339561445955,0.9469186140016213
C0005747,0.9722885531572878,0.9626127828714554,1.0
C0456909,0.9696488740959894,0.9591479557515807,0.9779148555444378
C0036572,0.9610721810986356,0.9419591519475018,1.0
C0017160,0.9755128087566272,0.9672701048664961,1.0
C0006277,0.9765499608329226,0.970308218512197,1.0
C0042963,0.9704618367126072,0.9596307350521108,1.0
C0006849,0.9765285714285714,0.9685911724227692,1.0
C0021311,0.9692687453515121,0.955787099491985,1.0
C0018944,0.9739569286764584,0.9674325590324556,1.0
C0037383,0.9725665143778554,0.9660568547084826,1.0
C0007859,0.9812108179732767,0.9763889613123782,1.0
C0007570,0.9905384948096885,0.9895631041301653,1.0
C0039070,0.9620216971888926,0.9458484375988975,1.0
C0019193,0.9834974713867447,0.9784351279265602,1.0
C0043144,0.9751115157032316,0.9621771677946542,0.98
C0027497,0.9662419521915302,0.9542046101873809,1.0
C0678222,0.9761389734551087,0.9632692808353923,0.9443730360905538
C0917801,0.9722784637781339,0.9618741271085957,1.0
C0038379,0.974175,0.9615376523419015,0.9443730360905538
C0027404,0.9694523259186941,0.9569381741778111,0.9760745588901876
C0878544,0.9796394808524275,0.975681662858463,1.0
C0030554,0.968242999031358,0.9551337906227533,1.0
C0011880,0.9720164675103724,0.959285305052334,0.9466475511542809
C0021141,0.956021665716416,0.935676751805538,0.9729515216137484
C0009806,0.9755062833901513,0.9655152118533841,1.0
C0085680,0.9745409953827436,0.9649363913921433,1.0
C0016034,0.9910865077875775,0.989779847291206,1.0
C0004623,0.9747018304618853,0.9674520114305584,1.0
C0018932,0.9764170920995398,0.9681549628513316,1.0
C0020651,0.9709397133338932,0.9545820066016323,1.0
C0024121,0.9790190138698369,0.9705945830147777,1.0
C0030193,0.9736181089266644,0.9631422831859886,1.0
C0265031,0.9771984856679286,0.966286997195177,0.9692489691851524
C0011991,0.9637034400010547,0.9480350040209444,1.0
C0037199,0.980063300182899,0.971760588084286,1.0
C0014868,0.9708644629579862,0.9525075149020017,0.877277818212855
C0031212,0.9858217640020325,0.9833791919970865,1.0
C0231218,0.9639233439669732,0.9470093090036638,0.9588069436862261
C0006852,0.9949457593688362,0.994914010896703,1.0
C0029443,0.9807122757975236,0.9766621165416833,1.0
C0018808,0.979609668006065,0.9743871040690636,1.0
C0262613,0.9795559236064386,0.9740767575076531,0.9750867540121387
C0038454,0.9702498432774643,0.9569980398782241,1.0
C0011175,0.9707359995614155,0.9559984016143874,0.939015893233411
C0003467,0.975850293304138,0.9675679250528524,1.0
C0002103,0.9859393390674513,0.981702806601702,1.0
C0005758,0.9695232609519,0.9568702167112013,0.9774704110999933
C0043094,0.973678105074679,0.9615867008937607,1.0
C0018520,0.9878560993425858,0.9862273918704112,1.0
C0037299,0.9764152189417886,0.9644419702005139,0.9356825599000778
C0017152,0.9745880897532251,0.9651196776714697,1.0
C0035222,0.967995813954393,0.9573880857121353,0.9750867540121387
C0011849,0.969859405284601,0.9600776136191695,1.0
C0151827,0.9777969537584922,0.9738820256656713,1.0
C0041834,0.9725221669550173,0.9618911572454076,1.0
C0002170,0.9682453224321107,0.9560358456796605,0.9795999999999999
C0003611,0.978391356542617,0.9716102915330654,0.9723800930423198
C0015230,0.9593587220215198,0.9422031422993957,1.0
C0041912,0.9755335031777339,0.9666846021292866,0.9760745588901876
C0037315,0.9791749796639911,0.9722547155032831,1.0
C1510475,0.9813890445594233,0.9753574472003348,1.0
C0008320,0.9801613787907826,0.9690885047407929,0.947853191563759
C0235329,0.9760134212143978,0.9654966043791211,0.9480333899469818
C0009763,0.9742992019344139,0.9668255598697851,1.0
C0012833,0.9694531026399941,0.9595141855285655,1.0
C0037672,0.9875339719313878,0.9845688490784141,1.0
C0042769,0.9805011041238276,0.9726328002661071,1.0
C0032290,0.9765949099468909,0.9679860384861526,0.9760745588901876
C0003486,0.984274356137757,0.982025930709729,1.0
C0012813,0.9787162919715304,0.9739287054643389,1.0
C0008035,0.9790796971476643,0.9736682231662707,0.9760745588901876
C0030319,0.9842650887573964,0.9800044522818065,1.0
C0149725,0.9701839431569161,0.9596843070588096,1.0
C0242429,0.963713152640312,0.9395701803339693,0.9173751932222938
C0030252,0.9715085524684884,0.9603587039503823,1.0
C0035078,0.9630780213319896,0.9480820924654183,1.0
C0438215,0.9795185116699541,0.9756282921476047,1.0
C0031154,0.9811806808891357,0.9760231475973941,1.0
C0267596,0.9716333915236611,0.9566192575864919,1.0
C0085584,0.9703940012820321,0.9571192627498661,0.9609706863762847
C0024141,0.9761874700133835,0.9691572408165255,1.0
C0015403,0.9828414656829313,0.9780181845193959,1.0
C0004144,0.9762858058728118,0.9681129977922118,1.0
C0020598,0.9704989682853751,0.9572321586831125,0.9678450282984528
C0037928,0.9877298539751217,0.9858077225787165,1.0
C0015802,0.975527035880834,0.9671009942678376,0.9770158656454478
C0011124,0.9736801075069234,0.961842345121938,0.9717918577482021
C0030196,0.9735825881844071,0.965830237967277,1.0
C0034212,0.9700463530289307,0.9615312823227103,1.0
C0018524,0.9749008614970042,0.966098379269598,1.0
C0027947,0.9691176240841132,0.9596688815716179,1.0
C0025345,0.9872461993674115,0.9834006191104676,0.9750867540121387
C0010054,0.975687451540031,0.9686722310001253,1.0
C0262431,0.9793758861058601,0.9755828981969641,1.0
C0032285,0.9677223587688786,0.9521234139685859,1.0
C0000833,0.9740912413429608,0.9638815686925495,1.0
C0004245,0.973324174790169,0.9574045523877566,0.9430610234440305
C0022116,0.9716321902910824,0.9660765989006149,1.0
C0020437,0.9735701113311932,0.9647610383278787,1.0
C0016059,0.9843801652892561,0.9809909253695266,1.0
C0003123,0.9698967421494624,0.9593014223620926,1.0
C0037763,0.9759926668695148,0.9667461697246674,0.9783496381531335
C0024117,0.9739250297309707,0.9650181619706321,1.0
C0039239,0.9776760251114378,0.9724541291019421,1.0
C0178879,0.9774207099348876,0.9674868565385012,0.9447087473273192
C0235527,0.9674325512517933,0.9584977425534107,1.0
C0009917,0.9900319122234573,0.9890591248389767,1.0
C0020443,0.9743970130100723,0.9659116846129281,1.0
C0008325,0.9828346005672527,0.9804159306149532,1.0
C0398353,0.9747675060866797,0.9631720593618276,0.9787751700680271
C0004093,0.9725664075153871,0.9624525860427622,0.9647017234551478
C0030305,0.9672722552731207,0.9557193547578445,1.0
C0151706,0.9757298752834467,0.9663810503261526,0.9783496381531335
C0031039,0.9728078413872905,0.9599148395782029,0.9705607971421415
C0025222,0.9727518445467164,0.9655853312194803,1.0
C0030552,0.9743866704969836,0.9607898728312818,0.9609706863762847
C0020461,0.9715498922382574,0.9620115096499191,1.0
C0011860,0.9834307904468025,0.9788946960136283,1.0
C0043352,0.9718963366361707,0.9611467195767541,1.0
C0151723,0.9800431186171976,0.9703430265490873,0.9536185683360862
C0232492,0.9704610406869113,0.954529263879476,0.9750867540121387
C0027339,0.9845116618075802,0.9803097084534023,0.9755867540121388
C0085649,0.9710106354928788,0.9601094243797899,1.0
C0029878,0.9854087901701323,0.9837009621633062,1.0
C0015256,0.9831345992667665,0.9806519959413641,1.0
C0007642,0.9720119119237236,0.959581442166908,0.9791918367346938
C0019322,0.9831701972242514,0.9754500958823007,0.9655350567884813
C0019112,0.98376964324668,0.9792601681304598,1.0
C0040822,0.9710926033152445,0.9609699196393966,1.0
C0006384,0.9807026007631243,0.9680214347514106,0.9485952583127761
C0011609,0.9694944093339816,0.9530882362599833,0.9247730360905538
C0424230,0.9880642361111112,0.9873095032220172,1.0
C0014863,0.9789481821227035,0.9741730557068566,1.0
C0019291,0.9791521319817785,0.9737415066586256,1.0
C0001623,0.9602694383538539,0.9457878441875693,0.9787751700680271
C0085593,0.9702442314049586,0.9608446664223389,1.0
C0020538,0.9719788681319032,0.9595219001512301,1.0
C0152032,0.9836014671350113,0.9743241972249694,0.9692489691851524
C0015672,0.972092486656984,0.960036358417203,0.9505762785100316
C0000731,0.972003092468871,0.9590726036403742,0.9266825599000776
C0027796,0.9808874946449053,0.9741524749859245,0.9774704110999933
C0003811,0.9672919800971508,0.9569350860521854,1.0
C0428977,0.9627888702602923,0.9481333762853463,1.0
C0042029,0.97339131371611,0.9612719896598418,1.0
C0020440,0.9764000472589791,0.9635095177191648,0.9588069436862261
C0035410,0.9733835563300064,0.9678333354506728,1.0
C0037995,0.9925240299038804,0.9923766075153835,0.9574785743652996
C0011615,0.9574963655312565,0.9319022037639827,0.903990064604087
C0039231,0.9636432722642237,0.9442760641441229,0.9356825599000778
C0001339,0.9734863706159901,0.9611528730409424,1.0
C0006267,0.9766350372410978,0.9647235825300735,0.949345217903971
C0026821,0.9919863620499878,0.9916678583689608,1.0
C0034150,0.9645181001453296,0.9547892690197362,0.9723800930423198
C0002994,0.9674184291635668,0.9604370285778495,1.0
C0027424,0.9823314163976704,0.9748852743994277,1.0
C0030312,0.9677645159995898,0.9564323368010277,1.0
C0018801,0.9650676710871473,0.9495760711816913,0.9723800930423198
C0042798,0.9728228526086093,0.9631500927088443,0.9570789145013541
C0024902,0.9833715378477983,0.9674244006195375,0.9266825599000776
C0009421,0.9705158549037507,0.9639351088138384,1.0
C0263912,0.9891079959276372,0.9865187017362835,1.0
C0016663,0.9738274890145481,0.9695172170414419,1.0
C0020040,0.9774887668609474,0.9657069975215843,0.9779148555444378
C0041582,0.9758032156621222,0.9681753192371402,1.0
C0013428,0.9748441367190569,0.9608950639384108,0.9692489691851524
C1260880,0.9735104158846506,0.9658266880667182,1.0
C0342579,0.9739335180055402,0.9630269862593865,0.9356825599000778
C0018681,0.9699359972234969,0.9606723634773134,1.0
C0162529,0.9827781299906106,0.9770061584783488,0.9774704110999933
C0041952,0.9883654122378627,0.9854508582244,0.9795999999999999
C0699790,0.9753958975449039,0.9574279225517901,0.9124367580861912
C0001418,0.9724917069404329,0.9610329590391198,1.0
C0836924,0.9761802164129082,0.968432045123464,1.0
C0151744,0.9685466533236933,0.9555120451430943,1.0
C0018188,0.9841201328311555,0.980198681294325,1.0
C0575090,0.9697143107340432,0.9516927679056693,0.9281912702401331
C0023798,0.9742078322359581,0.9651614585430779,1.0
C0476427,0.983960793049677,0.9774860925962683,0.9638321582377566
C0152027,0.9693677380413459,0.9601003205371428,0.9760745588901876
C0032308,0.9826778820040809,0.9805247766710639,1.0
C0003864,0.9833669704861111,0.9799441925220121,1.0
C0042024,0.9730006986781861,0.9626664105061622,0.9655350567884813
C0042909,0.9842529604434367,0.9823839089169841,1.0
C0016053,0.9837140636624508,0.9779239780325194,1.0
C0027719,0.9776256710678395,0.9724758244935273,1.0
C0023530,0.9599161543084318,0.9408858157922337,1.0
C0014130,0.981567924546387,0.9663140343396193,0.910015893233411
C0016204,0.9719543924089379,0.9581394010363725,0.969915635851819
C0027651,0.9689094387755102,0.957205354135372,0.9750867540121387
C0085615,0.9765572434139019,0.971392388254771,1.0
C0004610,0.9765653890145423,0.9649058206461167,0.939015893233411
C0085631,0.9675560404681611,0.9550355895109085,1.0
C0026764,0.9795463925930833,0.9720379021921891,0.9791918367346938
C0042134,0.9704617473970122,0.9497776145748011,0.9164611943409396
C0017181,0.9666083921123253,0.9490841058032441,0.9740476177098445
C0002622,0.9759096624918263,0.9702234588075033,1.0
C0520474,0.9705138506985731,0.9583490287010766,0.967104287557712
C0009676,0.9707841402740801,0.9592215618332006,1.0
C0013221,0.9690288840641483,0.9569748762437811,1.0
C0011848,0.9847164412070759,0.9836652898611995,1.0
C0015468,0.979816867160478,0.9718272357752988,1.0
C1136085,0.9776145752418615,0.9676649225391429,0.9599180547973373
C0595939,0.9595984664601066,0.942379689373082,0.9750867540121387
C0017574,0.971650289053428,0.9580517328591899,0.9663350567884812
C0006840,0.9755393246401298,0.9656053119504847,0.9647017234551478
C0151766,0.9682338563588896,0.9533181456101041,0.9760745588901876
C0009241,0.9781610845711401,0.9721531058982369,1.0
C0008033,0.9712472996758031,0.9612069818717204,0.9779148555444378
C0020456,0.9689972791846855,0.9543892207589492,1.0
C0004134,0.9818939035916824,0.9759771703430826,1.0
C0020540,0.9785358996539792,0.9688972052446235,0.9576304730979908
C0015967,0.9670347112247178,0.9511998581314004,0.9740476177098445
